framenumber,cam0_frame,cam0_sysclock,cam2_frame,cam2_sysclock
177,177.0,5837.0,177,5878
178,178.0,5869.0,178,5910
179,179.0,5903.0,179,5942
180,180.0,5936.0,180,5974
181,181.0,5970.0,181,6006
182,182.0,6003.0,182,6038
183,183.0,6036.0,183,6070
184,184.0,6069.0,184,6102
185,185.0,6103.0,185,6150
186,186.0,6136.0,186,6182
187,187.0,6170.0,187,6214
188,188.0,6203.0,188,6245
189,189.0,6236.0,189,6278
190,190.0,6270.0,190,6309
191,191.0,6303.0,191,6342
192,192.0,6336.0,192,6374
193,193.0,6370.0,193,6406
194,194.0,6403.0,194,6438
195,195.0,6437.0,195,6470
196,196.0,6470.0,196,6518
197,197.0,6503.0,197,6550
198,198.0,6537.0,198,6581
199,199.0,6570.0,199,6614
200,200.0,6603.0,200,6646
201,201.0,6637.0,201,6677
202,202.0,6670.0,202,6709
203,203.0,6703.0,203,6742
204,204.0,6737.0,204,6774
205,205.0,6770.0,205,6806
206,206.0,6804.0,206,6838
207,207.0,6838.0,207,6870
208,208.0,6870.0,208,6918
209,209.0,6904.0,209,6950
210,210.0,6937.0,210,6982
211,211.0,6970.0,211,7014
212,212.0,7004.0,212,7045
213,213.0,7037.0,213,7077
214,214.0,7070.0,214,7110
215,215.0,7104.0,215,7142
216,216.0,7137.0,216,7174
217,217.0,7170.0,217,7206
218,218.0,7204.0,218,7238
219,219.0,7237.0,219,7286
220,220.0,7270.0,220,7318
221,221.0,7303.0,221,7350
222,222.0,7337.0,222,7382
223,223.0,7370.0,223,7414
224,224.0,7404.0,224,7447
225,225.0,7439.0,225,7479
226,226.0,7473.0,226,7510
227,227.0,7505.0,227,7543
228,228.0,7539.0,228,7576
229,229.0,7575.0,229,7608
230,230.0,7608.0,230,7654
231,231.0,7638.0,231,7686
232,232.0,7670.0,232,7717
233,233.0,7704.0,233,7750
234,234.0,7737.0,234,7782
235,235.0,7771.0,235,7814
236,236.0,7804.0,236,7846
237,237.0,7838.0,237,7878
238,238.0,7871.0,238,7910
239,239.0,7905.0,239,7943
240,240.0,7939.0,240,7976
