frame,cell_0_normalized,cell_1_normalized,cell_2_normalized,cell_4_normalized
0,9.232885666692174e-05,-2.794099130041597e-07,4.695230343458937e-10,-8.479877195524044e-11
1,-0.00016321453934958088,-6.42619775073081e-07,9.762842792874936e-10,-6.803055523142462e-11
2,-0.0005854781954174628,-1.143124561057763e-06,1.6552634413407919e-09,-2.1210996581652298e-11
3,-0.001206588096770277,-1.7703008326432922e-06,2.4807166527682276e-09,6.85606062298931e-11
4,-0.002036346823259058,-2.474202256769519e-06,3.3705619784500456e-09,2.1417631730167873e-10
5,-0.003041829585703241,-3.145931633422091e-06,4.160812590350262e-09,4.253834826789178e-10
6,-0.004120875963701136,-3.596472884581313e-06,4.5792459586284614e-09,7.038797382936611e-10
7,-0.005070982482545692,-3.53787732795843e-06,4.224083089897571e-09,1.036401340275841e-09
8,-0.005557432757570271,-2.573271555169214e-06,2.5568979874543906e-09,1.3858621236821845e-09
9,-0.0050877849016854075,-2.0523504060002494e-07,-1.077031686187847e-09,1.6811198095719668e-09
10,-0.0030040415846121784,4.124653510811101e-06,-7.3837151491161976e-09,1.8067452088584409e-09
11,0.0014913191951276559,1.0949532826122741e-05,-1.699049992512262e-08,1.5952798358012995e-09
12,0.009254430336520344,2.0627443914888607e-05,-3.023029051256933e-08,8.258703610891995e-10
13,0.02103956337675594,3.311304770085188e-05,-4.682300332357519e-08,-7.652397651223035e-10
14,0.037233808470819814,4.7642925859427085e-05,-6.544859860114655e-08,-3.4553340932052555e-09
15,0.05746664604726604,6.234107121570822e-05,-8.322777646430228e-08,-7.478844317882679e-09
16,0.08024136217876505,7.377587950669965e-05,-9.51618249350447e-08,-1.2935849909593812e-08
17,0.10309041268310898,7.653700796958277e-05,-9.363459540712389e-08,-1.9659306422130717e-08
18,0.12350256726818422,6.295084497444093e-05,-6.814764782580541e-08,-2.7039904279750222e-08
19,0.1398954165433916,2.311557023068328e-05,-5.5411196313049454e-09,-3.381685686709088e-08
20,0.1518347332795745,-5.4494655109347924e-05,1.0896109894763996e-07,-3.785788700516623e-08
21,0.15967836224572415,-0.0001815434787639991,2.89469988859768e-07,-3.5973090916031665e-08
22,0.16417432365392348,-0.00036711267984307605,5.454693978592569e-07,-2.383521170611375e-08
23,0.16618606030289695,-0.0006134131852604459,8.757780480174439e-07,3.888407869657467e-09
24,0.16652492532484237,-0.0009097006688120366,1.2602248422795492e-06,5.3053302854457716e-08
25,0.16586449772177816,-0.0012244228271237377,1.6492116380759135e-06,1.290388467803012e-07
26,0.16471167713625823,-0.0014960765031369547,1.9519910302620817e-06,2.3505812373451103e-07
27,0.1634130745372689,-0.0016239520602220243,2.02546676050258e-06,3.6962892229140127e-07
28,0.16218007297328055,-0.0014609204538616472,1.6666570560244504e-06,5.231423400213052e-07
29,0.16112085266827,-0.0008116630390476515,6.136077446471298e-07,6.736332299763096e-07
30,0.16027196880589958,0.0005588315716591136,-1.4386438263455137e-06,7.821346061616136e-07
31,0.15962544138926021,0.002900275931601169,-4.798776196633531e-06,7.884076397360365e-07
32,0.15914972422094362,0.006428344878717231,-9.707263035002237e-06,6.083869080413121e-07
33,0.15880447136124054,0.0112448446042753,-1.622293534824991e-05,1.353459315368519e-07
34,0.15854988861106595,0.01722106103948502,-2.4062037425733463e-05,-7.52496000417595e-07
35,0.1583518326283632,0.023842870377359555,-3.239048187851454e-05,-2.174571080797329e-06
36,0.15818387160350444,0.03002433118928734,-3.9581937974587045e-05,-4.2170786495572195e-06
37,0.15802738675426484,0.033909553139151026,-4.297288157498738e-05,-6.885229861518891e-06
