frame,cell_0_filtered,cell_1_filtered,cell_2_filtered,cell_4_filtered
0,4.3732471973902e-05,-3.5213676427204286e-08,2.0232295756226889e-10,-6.06085690583048e-11
1,-7.730817347374443e-05,-8.098855399167381e-08,4.2069229485656927e-10,-4.8623753737789935e-11
2,-0.0002773175115207301,-1.4406653642413436e-07,7.132723434183035e-10,-1.5160221327180364e-11
3,-0.0005715123313657855,-2.2310876528773387e-07,1.0689697700587996e-09,4.900259923052957e-11
4,-0.000964535721465576,-3.118205676691341e-07,1.4524145105617216e-09,1.5307910502152024e-10
5,-0.0014407925312673326,-3.96477767772622e-07,1.792942726047009e-09,3.0403605608599986e-10
6,-0.0019518934718385998,-4.5325890937511207e-07,1.9732505499873782e-09,5.030868106159699e-10
7,-0.0024019207786586706,-4.458741858024756e-07,1.8202067230363949e-09,7.407513193396675e-10
8,-0.0026323327407168006,-3.2430614550783115e-07,1.1017971966539998e-09,9.905228376752437e-10
9,-0.0024098794099105683,-2.586551147562835e-08,-4.641055287977022e-10,1.2015535570197617e-09
10,-0.0014228938725129377,5.198248427995894e-07,-3.1817290686232407e-09,1.2913423064623867e-09
11,0.0007063780193915046,1.3799557138919321e-06,-7.321404795616244e-09,1.1402008055791077e-09
12,0.004383452042369992,2.5996505554488955e-06,-1.3026585145051287e-08,5.902776615645146e-10
13,0.009965596336110145,4.173195341279891e-06,-2.0176578828707105e-08,-5.469429106244251e-10
14,0.01763615996357438,6.004377429637482e-06,-2.8202565302759256e-08,-2.4696449037974978e-09
15,0.027219642681837592,7.85676601918761e-06,-3.586382063032921e-08,-5.345384630758095e-09
16,0.038007111203487605,9.297880383516159e-06,-4.100634145607705e-08,-9.245692295960555e-09
17,0.04882978893268652,9.645861896485824e-06,-4.0348240420851306e-08,-1.4051175547129491e-08
18,0.05849820691753277,7.93361503146118e-06,-2.936561712725577e-08,-1.932634008820589e-08
19,0.06626284137073127,2.9132259545905186e-06,-2.387733146199732e-09,-2.417005880516439e-08
20,0.0719180162900555,-6.86789216388362e-06,4.695260974583183e-08,-2.705832061064794e-08
21,0.07563322837345952,-2.287969403064566e-05,1.2473599799680944e-07,-2.5711192683023807e-08
22,0.07776278475894723,-4.626674473115585e-05,2.3504913233563056e-07,-1.7035837210848132e-08
23,0.07871566362906567,-7.730768457603178e-05,3.773829863104556e-07,2.7791774746382552e-09
24,0.07887617038296846,-0.00011464841978130347,5.430455986864452e-07,3.7919001604443016e-08
25,0.07856335234660969,-0.0001543124536307203,7.106645507317509e-07,9.22284565679324e-08
26,0.07801730752630975,-0.00018854862136199042,8.411357260199958e-07,1.6800404294296212e-07
27,0.07740221162004923,-0.0002046646153928647,8.727972760694304e-07,2.6418637376576676e-07
28,0.07681818828988472,-0.00018411794912731887,7.181819850151936e-07,3.7390763936110285e-07
29,0.07631647816397934,-0.00010229286183028075,2.6441074153704405e-07,4.8146860146204e-07
30,0.07591439596497479,7.042883314385874e-05,-6.199284221069635e-07,5.590182286538017e-07
31,0.0756081618887689,0.0003655180917059717,-2.0678486927375242e-06,5.635017792976855e-07
32,0.07538283376837462,0.0008101561397295676,-4.18297298195955e-06,4.348348340428021e-07
33,0.07521930135222717,0.0014171734821851127,-6.990652257502186e-06,9.673634475086218e-08
34,0.07509871572614048,0.0021703484484765995,-1.036861287057103e-05,-5.378345081634106e-07
35,0.0750049045599949,0.0030048866682536564,-1.3957436826625098e-05,-1.5542399787613025e-06
36,0.07492534816692874,0.00378392832263987,-1.7056319224511273e-05,-3.0140896697289534e-06
37,0.074851227577432,0.004273577909941143,-1.851751641394336e-05,-4.921108170816869e-06
38,0.07477695190111572,0.004121324216201648,-1.666404678958121e-05,-7.1734925907178134e-06
39,0.07469946011515924,0.0028458256745209644,-9.269394542886038e-06,-9.503415004538749e-06
40,0.07461749087983051,-0.0001502828083889676,6.345793982456131e-06,-1.1407973857213802e-05
41,0.07453093204503013,-0.005529081610193583,3.3029026988661765e-05,-1.2081449072832484e-05
42,0.07444030155494433,-0.013908922611899306,7.3240606599611e-05,-1.0366356271474326e-05
43,0.07434637186029175,-0.025679037576272587,0.0001281438309502286,-4.750359078063995e-06
44,0.07424992707189404,-0.04072006565758636,0.000196275395663839,6.553183564597692e-06
45,0.07415163163076059,-0.058022368083483905,0.0002717797468404005,2.539305524277548e-05
46,0.07405198707247641,-0.07521224066053277,0.00034228385432917834,5.3281629564740245e-05
47,0.07395135592850412,-0.08802665309632268,0.000386637893320789,9.075616390358234e-05
48,0.07385003602257638,-0.08982244279357918,0.00037296193562836195,0.0001364610545475195
49,0.07374837212972926,-0.07126690922906953,0.0002577198324560558,0.00018594849840938816
50,0.07364689346570012,-0.02043137588064764,-1.3125536697369388e-05,0.00023026129069321895
51,0.07354646352315657,0.07640961867140544,-0.0004994754756781912,0.00025446582433911725
52,0.07344842255842797,0.23289772611786042,-0.0012572914439457272,0.00023645114629314675
53,0.07335469225689996,0.4592120756360806,-0.0023218311641464754,0.00014650038228820823
54,0.07326779718215873,0.7568028745146763,-0.0036823740769697582,-5.1637809711517556e-05
55,0.07319074001926662,1.1120515818942724,-0.00524769886119236,-0.00039722663850558617
56,0.07312665035527068,1.4931502958405094,-0.006803225046721674,-0.0009254432761828658
57,0.0730781148469679,1.8558982803982051,-0.007963490407404376,-0.001655541595667173
58,0.0730460976821343,2.157950615378598,-0.008127732552047694,-0.0025733219078585266
59,0.0730283846133955,2.3726355339091554,-0.006451862196636774,-0.0036075658324366947
60,0.07301754449028727,2.49357032268824,-0.0018568658779892326,-0.00460128315773053
61,0.07299851367497001,2.5300214255223925,0.006898986912918858,-0.005280560537950599
62,0.0729460849105568,2.499296648985161,0.02105013998114772,-0.005226636571956039
63,0.07282283253844386,2.4207859563079044,0.041518248101334705,-0.003860586174869682
64,0.07257832946709294,2.3123869891897937,0.06846091081952477,-0.0004545127834783263
65,0.07215088848510352,2.1887298833726136,0.10083388283415698,0.005812064744228105
66,0.07147344313628971,2.060635858376107,0.1363346364807368,0.015727824686073
67,0.07048548292079017,1.9353310216872321,0.1719007934799573,0.029832539145993937
68,0.06915303424907893,1.817049204175791,0.20448463308289747,0.04808508709678757
69,0.06749833377341971,1.7077689915042245,0.23175108041951262,0.06943775117897592
70,0.0656398178328727,1.6079259426642145,0.2525095155558524,0.09167751131964436
71,0.06384105153367975,1.51701535724163,0.2667443409636964,0.11210748555583445
72,0.06256393980445851,1.4340534655862025,0.27528002037452165,0.12870530374772737
73,0.06251676271294417,1.3578982835653481,0.27934380415931603,0.14064777597242803
74,0.06468119706855033,1.2874496678737883,0.2802414980699626,0.14804365006855294
75,0.07029479853669798,1.2217556059294605,0.2791777821941607,0.15151561274789918
76,0.08075723335620118,1.1600522923303274,0.2771814472170112,0.15192224928011103
77,0.09742145138028707,1.1017621303594316,0.2750975013123601,0.15020419654294123
78,0.12127745727652493,1.0464686667922307,0.27361274407984976,0.14732901149417835
