scorer,DLC_Resnet50_AuTmMo1Feb20shuffle1_snapshot_best-10,DLC_Resnet50_AuTmMo1Feb20shuffle1_snapshot_best-10,DLC_Resnet50_AuTmMo1Feb20shuffle1_snapshot_best-10
bodyparts,red_light,red_light,red_light
coords,x,y,likelihood
176,405.95697,350.19797,0.8923149
177,414.23367,351.08008,1.0
178,422.521,350.05075,0.9490786
179,430.9166,349.3123,1.0
180,436.51794,350.7923,0.9627279
181,444.33447,353.83456,1.0
182,446.67328,353.45517,1.0
183,447.61267,352.82703,1.0
184,447.8397,350.71432,0.9722736
185,449.2267,348.57922,0.9909383
186,447.69897,348.50293,0.99762726
187,447.0989,348.03345,1.0
188,451.54333,344.68732,0.950354
189,459.22623,343.9123,0.98947614
190,463.54047,345.67197,0.9624493
191,470.1376,345.68484,0.9247962
192,476.9669,345.47052,0.9615147
193,481.15985,344.28046,0.9705689
194,489.47797,347.19296,0.9199835
195,496.1876,347.77438,0.97731936
196,505.7353,348.85675,0.92949003
197,511.18732,350.26764,0.99102306
198,517.5393,349.99487,0.9564996
199,526.8323,351.0518,0.9799334
200,535.37054,352.31046,0.99191463
201,543.2719,351.6711,1.0
202,553.35443,351.921,0.99395406
203,558.4902,351.1321,0.97476494
204,565.3395,352.6754,1.0
205,572.0288,352.3408,1.0
206,575.83124,351.90845,1.0
207,585.01465,352.16138,0.9876471
208,590.4901,351.1914,0.9603275
209,598.6159,352.11655,0.99867773
210,604.72473,351.5407,1.0
211,609.4907,348.7887,0.96432203
212,614.42694,344.11646,0.9729179
213,616.8011,342.88147,0.9698262
214,615.5614,341.34406,1.0
215,615.32556,339.68338,1.0
216,614.68896,337.0285,1.0
217,610.94116,334.66217,0.96808827
218,609.8012,331.97638,0.9724492
219,610.2812,329.6962,0.96680105
220,611.52936,329.011,0.94507974
221,613.2718,328.73938,0.92140555
222,614.47205,328.35184,0.93495685
223,615.3383,327.15674,0.9359833
224,616.7593,327.3158,0.9312379
225,619.3198,325.96207,1.0
226,620.47217,323.92575,1.0
227,619.553,322.3531,1.0
228,616.1752,322.10327,1.0
229,611.8595,319.29208,0.9494766
230,609.9567,319.78223,0.9761483
231,610.1529,322.56152,1.0
232,611.3259,325.3769,1.0
233,611.1006,327.3334,0.97167754
234,613.91986,331.6705,0.9291755
235,614.9873,335.35037,0.96507317
236,616.84235,340.82092,1.0
237,617.4339,341.4883,1.0
238,617.4932,340.46115,1.0
239,614.74585,340.43033,1.0
240,615.0305,339.98602,1.0
241,616.1927,339.52448,1.0
242,616.2604,339.08286,1.0
243,616.9193,341.11014,1.0
244,616.1884,342.6789,0.9695591
245,616.3728,347.12347,0.9143828
246,614.4999,350.4555,0.9793987
247,616.81903,348.5089,0.9370368
248,620.0818,346.27768,0.9934582
249,622.8685,348.16736,1.0
250,622.9638,350.74976,1.0
251,624.14215,348.77362,1.0
252,622.9619,347.53214,0.7537282
253,621.53955,348.67413,0.9747513
254,619.5407,349.144,1.0
255,616.9717,348.0086,0.91462433
256,616.044,345.78015,0.90198255
257,612.5609,346.05554,0.95913076
258,610.44525,349.5602,0.9588219
259,607.5454,351.18268,0.96939695
260,608.5028,352.44757,0.9135201
261,613.5013,350.97058,0.93226075
262,615.3144,346.5484,0.92393684
263,616.41724,341.98657,1.0
264,616.9464,339.9746,1.0
265,615.90375,339.41537,0.99028546
266,611.77954,336.1634,0.9975804
267,611.5405,333.93552,0.97323424
268,610.7503,329.12103,0.95122313
269,610.173,326.69064,0.98424673
270,609.4313,325.52054,1.0
271,607.84174,324.32645,1.0
272,607.327,323.719,1.0
273,606.26544,321.94742,1.0
274,606.5075,319.99966,0.97746825
275,607.92456,316.7154,1.0
276,607.6217,312.17044,0.96873105
277,607.45856,311.65567,0.9621183
278,608.0816,314.4105,0.98115146
279,609.05383,317.33682,0.96361864
280,607.9974,315.9252,0.9919034
281,608.01935,318.832,0.9768622
282,611.23157,322.70996,1.0
283,615.4859,327.75485,0.93222904
284,618.2638,336.1939,0.9922699
285,616.36,341.625,1.0
286,615.7175,343.12332,0.97165036
287,615.4285,345.67648,0.9210857
288,613.86676,350.7456,1.0
289,613.8464,351.83246,1.0
290,615.29926,350.70938,0.9725262
291,617.5353,350.32733,0.96133363
292,614.5996,350.58292,0.9684438
293,614.2518,349.88596,0.9612217
294,615.39465,345.65393,0.93254054
295,617.7848,341.72684,1.0
296,617.3956,337.45245,1.0
297,616.85974,334.73096,0.9380878
298,611.99426,329.2068,0.91370165
299,606.34344,325.44327,0.99067
300,597.30945,321.41995,0.9672488
301,591.6389,321.6343,0.9719502
302,587.5436,320.51108,1.0
303,585.7943,321.41913,1.0
304,584.86725,321.43835,1.0
305,585.3188,322.51987,1.0
306,587.0547,321.8947,1.0
307,584.4275,321.73315,1.0
308,579.73975,319.5685,0.94159496
309,572.94543,319.96198,0.98239285
310,562.8124,322.16617,0.9966649
311,558.824,328.2095,0.96851987
312,559.0446,333.05396,1.0
313,558.63586,336.40192,0.97874165
314,558.6648,337.19397,1.0
315,559.6163,338.5215,1.0
316,559.5248,338.4388,1.0
317,558.49506,338.10413,1.0
318,552.14526,334.2433,0.9105409
319,544.11334,335.60794,0.9685112
320,539.7347,338.91022,1.0
321,534.1495,341.20364,1.0
322,526.6138,341.53555,1.0
323,517.27704,338.57474,0.9887222
324,508.94693,337.2175,1.0
325,496.44986,336.6727,0.99358106
326,485.78238,337.60068,0.9777249
327,474.79742,338.10706,1.0
328,460.57483,340.87662,1.0
329,447.7882,342.50977,0.98699635
330,437.16794,340.26242,0.99420583
331,426.30173,339.44373,1.0
332,411.84903,338.64557,1.0
333,399.3768,335.3693,0.9524071
334,388.1245,334.72342,0.94971156
335,378.64435,337.57965,1.0
336,371.7703,336.9167,1.0
337,366.72568,335.54083,0.9714675
338,366.44324,333.818,1.0
339,366.39267,332.66956,1.0
340,364.8273,332.75778,1.0
341,366.7414,334.88937,0.9782813
342,369.29544,336.24576,0.9937266
343,368.7661,336.06384,0.97617805
344,366.8538,333.00922,1.0
345,367.16635,325.71436,1.0
346,368.36603,320.21036,0.9721551
347,370.72498,313.47473,0.969966
348,367.71274,309.6659,0.9861297
349,367.755,308.26245,1.0
350,366.94437,308.30643,0.95430076
351,366.70773,308.09357,0.9393035
352,366.36865,309.07858,0.7105765
353,394.38205,19.290691,0.023596313
354,388.8132,18.192612,0.04413722
355,244.33197,85.04271,0.02253193
356,236.5947,84.677986,0.019228723
